time,vehicle,x,y,distance,speed,latency,energy
211,def.9,1414.6593333333328,190.99,965.4475004648243,13.9,65.29513425938418,13.059026851876837
212,def.0,900.3593333333336,190.99,505.7418075333611,13.9,34.442403190158466,6.888480638031694
212,def.1,955.9593333333336,190.99,550.8049507346299,13.9,37.46677521708925,7.49335504341785
212,def.2,1011.5593333333335,190.99,597.6454899189356,13.9,40.610435565029235,8.122087113005847
212,def.3,1067.1593333333335,190.99,645.876837707555,13.9,43.84743877231912,8.769487754463825
212,def.4,1122.7593333333334,190.99,695.2095851998719,13.9,47.15836142281019,9.431672284562039
212,def.5,1178.3593333333333,190.99,745.425090281005,13.9,50.52852954906074,10.10570590981215
212,def.6,1233.9593333333332,190.99,796.3563794477387,13.9,53.946736875687165,10.789347375137433
212,def.7,1289.5593333333331,190.99,847.8744724036557,13.9,57.404327006956755,11.480865401391352
212,def.8,1345.159333333333,190.99,899.8785911557425,13.9,60.89453631917735,12.17890726383547
212,def.9,1400.759333333333,190.99,952.2891140232101,13.9,64.41202107538322,12.882404215076646
213,def.0,886.4593333333337,190.99,494.8110714408528,13.9,33.70879674099683,6.741759348199366
213,def.1,942.0593333333336,190.99,539.3548315229144,13.9,36.69831084046405,7.339662168092811
213,def.2,997.6593333333336,190.99,585.7917651809199,13.9,39.814883569189256,7.962976713837851
213,def.3,1053.2593333333334,190.99,633.7058229339892,13.9,43.03059214322075,8.60611842864415
213,def.4,1108.8593333333333,190.99,682.7861069816163,13.9,46.32457093836351,9.264914187672701
213,def.5,1164.4593333333332,190.99,732.7983254305223,13.9,49.681095666478,9.936219133295602
213,def.6,1220.0593333333331,190.99,783.5640520215588,13.9,53.088191410842875,10.617638282168576
213,def.7,1275.659333333333,190.99,834.9458554224403,13.9,56.53663459211009,11.307326918422019
213,def.8,1331.259333333333,190.99,886.836658778705,13.9,60.01923884420839,12.003847768841679
213,def.9,1386.8593333333329,190.99,939.1520948283317,13.9,63.53034193478736,12.706068386957472
214,def.0,872.5593333333338,190.99,484.0326817000874,13.9,32.9854148792005,6.5970829758401
214,def.1,928.1593333333336,190.99,528.0223431072257,13.9,35.93774114813595,7.18754822962719
