time,vehicle_id,vehicle_x,vehicle_y,speed,base_station,distance_to_bs,in_coverage,send_latency,return_latency,total_latency,energy,scenario_id,data_size,result_size
50,0,1616.236998695067,2345.4801837618015,10.396026696660556,BS16,28.511057123183704,True,2.050817891202053,0.30177213315622164,2.3525900243582747,0.47051800487165496,3,1800,280
50,1,644.1213126463175,5317.703817306034,2.84501929429926,BS27,163.2579300142645,True,2.1949062966897914,0.4062642412662228,2.601170537956014,0.5202341075912028,3,1800,280
50,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,3.05451755969218,0.5681907242142438,3.6227082839064235,0.7245416567812848,7,2800,380
50,3,2895.8899011006765,4872.099956493635,3.7449334883829586,BS5,203.7646225786959,True,2.504291692601448,0.4932733812975805,2.9975650738990285,0.5995130147798057,5,2200,320
50,4,1592.01,4234.47,0.0,BS39,122.33836233986453,True,1.6482514629065632,0.3068952947497694,1.9551467576563326,0.39102935153126656,1,1200,220
50,5,2416.48,7515.56,0.0,BS47,184.11994270040447,True,2.145460192076597,0.42709271478828686,2.572552906864884,0.5145105813729768,3,1800,280
60,0,1606.1771426795226,2340.663419989303,11.153141716360423,BS16,17.485830788694233,True,2.9444473481857205,0.35369996750946037,3.298147315695181,0.6596294631390363,8,3000,400
60,1,644.1234320695332,5323.056277641393,5.352460335359052,BS27,165.86088834609274,True,1.4937656955425032,0.3274659005412946,1.8212315960837977,0.36424631921675954,0,1000,200
60,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,2.551065593967972,0.505258545526317,3.056324139494289,0.6112648278988578,5,2200,320
60,3,2894.342275699903,4866.353153795279,5.95178434222471,BS5,199.45445930841728,True,3.592091221955684,0.5751883533483412,4.1672795753040255,0.8334559150608052,9,3500,450
60,4,1591.33,4231.34,0.0,BS39,122.76882503306773,True,2.907332015139134,0.4724962045200949,3.3798282196592293,0.6759656439318459,7,2800,380
60,5,2418.9988653807063,7515.969491957544,2.5542908898089083,BS47,184.3512137533543,True,2.943638372797561,0.49533272972962966,3.4389711025271903,0.6877942205054381,7,2800,380
60,6,2319.324150943396,3730.1645283018865,0.0,BS15,237.80175560311724,True,3.1966994845698458,0.5951524461857302,3.791851930755576,0.7583703861511153,8,3000,400
70,0,1599.5849612234272,2341.5541856728614,6.653141716360423,BS16,13.558045498881814,True,2.6083403338591293,0.31352807075590167,2.921868404615031,0.5843736809230062,6,2500,350
70,1,644.1682722321631,5330.438362360229,7.382084718836547,BS27,169.69805966316528,True,2.214430637462081,0.4006146469077081,2.6150452843697893,0.5230090568739579,3,1800,280
70,2,1583.19,2989.45,0.0,BS12,245.94911526573955,True,3.000040056483119,0.5523049340369762,3.552344990520095,0.7104689981040191,7,2800,380
70,3,2893.192329931764,4861.903363649,4.592640552258119,BS5,196.21804817736216,True,1.676502180112188,0.3802171482634847,2.0567193283756726,0.41134386567513453,1,1200,220
70,4,1591.33,4231.34,0.0,BS39,122.76882503306773,True,2.687409728106265,0.42200719061679276,3.109416918723058,0.6218833837446116,6,2500,350
70,5,2423.428399529764,7516.118530228008,4.434701412694193,BS47,184.27205924210367,True,3.588884197266113,0.5707277764970605,4.159611973763173,0.8319223947526346,9,3500,450
70,6,2319.618424220327,3731.5174888709726,1.3843032849719747,BS15,236.60244722704635,True,3.2276804174504963,0.5571764983241874,3.7848569157746836,0.7569713831549367,8,3000,400
70,7,820.4710133708656,6210.130351864884,0.0,BS55,130.08830160761948,True,1.663259338510277,0.3329368181280592,1.9961961566383362,0.39923923132766725,1,1200,220
80,0,1591.2429242495052,2342.674689824679,8.417493675328169,BS16,12.49838070941977,True,2.1943582539751643,0.26950715436097206,2.463865408336136,0.4927730816672273,4,2000,300
80,1,644.3933242957222,5340.401898278432,9.963535918203258,BS27,175.37246789318053,True,2.323848992960091,0.4380586532096408,2.761907646169732,0.5523815292339463,4,2000,300
