d_timestamp,container_id,d_cpu(proc),d_memory_usage(max_128),d_net_io,io,pid,t_timestamp,t_ram(max_3964MB),t_swap(max_1982MB),t_cpu(arr[4]),t_cpu_temp,thermal,pom_5v_in,pom_5v_cpu
2025-03-16 02:32:18,04463a03fa97,24.43,51.47,5.22MB / 193,8 / 0B,28,2025-03-16 02:32:20,2083,37,"[23%@825,9%@825,21%@825,18%@825]",27,26.5,1991,507
2025-03-16 02:32:21,04463a03fa97,25.10,52.04,6.35MB / 1.25MB,8 / 0B,28,2025-03-16 02:32:22,2083,37,"[23%@1479,14%@1479,12%@1479,17%@1479]",27,27,1952,624
2025-03-16 02:32:24,04463a03fa97,25.19,52.27,6.39MB / 1.36MB,8 / 0B,28,2025-03-16 02:32:25,2086,37,"[15%@403,18%@403,14%@403,19%@403]",27,26.5,1414,313
2025-03-16 02:32:26,04463a03fa97,25.69,52.58,6.97MB / 2.41MB,8 / 0B,28,2025-03-16 02:32:27,2084,37,"[25%@204,16%@204,15%@204,13%@204]",27,26.5,1453,314
2025-03-16 02:35:30,e028f7bc7379,25.42,15.57,1.95 / 0B,0B / 0B,10,2025-03-16 02:35:31,2072,37,"[18%@204,14%@204,16%@204,9%@204]",26.5,26.5,1336,314
2025-03-16 02:35:33,e028f7bc7379,25.38,20.68,2.16 / 0B,0B / 0B,10,2025-03-16 02:35:34,2072,37,"[17%@921,23%@921,21%@921,21%@921]",27,27,1451,353
2025-03-16 02:35:36,e028f7bc7379,24.84,21.48,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:36,2073,37,"[20%@614,15%@614,8%@614,16%@614]",27,26.5,1414,313
2025-03-16 02:35:38,e028f7bc7379,25.26,23.34,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:39,2076,37,"[13%@307,18%@307,10%@307,18%@403]",26.5,26.25,1608,353
2025-03-16 02:35:41,e028f7bc7379,25.60,25.02,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:41,2079,37,"[22%@307,19%@307,14%@307,13%@307]",27,26.75,1605,353
2025-03-16 02:35:43,e028f7bc7379,24.89,26.56,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:45,2077,37,"[34%@825,13%@825,14%@825,20%@825]",27,26.5,1414,313
2025-03-16 02:35:46,e028f7bc7379,24.79,30.55,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:47,2084,37,"[17%@204,20%@204,16%@204,15%@204]",27,26.5,1296,235
2025-03-16 02:35:49,e028f7bc7379,25.49,32.01,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:50,2085,37,"[22%@307,11%@307,12%@307,12%@307]",26.5,26.5,1530,313
2025-03-16 02:35:51,e028f7bc7379,25.75,33.25,2.36 / 0B,0B / 0B,10,2025-03-16 02:35:53,2087,37,"[17%@102,11%@102,8%@102,14%@102]",27,26.5,1141,157
