time,vehicle_id,vehicle_x,vehicle_y,speed,base_station,distance_to_bs,in_coverage,send_latency,return_latency,total_latency,energy,scenario_id,data_size,result_size,deadline,arrival_time,processing_time,waiting_time,node_assigned,status,handover
2,6,2319.324150943396,3730.1645283018865,0.0,BS4,488.46660697553233,True,2.5107734410544014,0.7617276830085702,3.2725011240629716,0.6545002248125944,3,1800,280,9.421270884060588,2,3.2725011240629716,0,BS4_Node_0,assigned,False
3,0,1627.0017926481028,2359.82141094767,6.233127367729321,BS5,951.193064561312,True,2.4542056870652282,1.1498635796797338,3.604069266744962,0.7208138533489925,1,1200,220,9.336441706563,3,3.604069266744962,0,BS5_Node_3,assigned,False
3,1,641.1204996677792,5316.646397955525,3.424795,BS2,843.270732266103,True,2.585288828977791,1.0537460838046775,3.639034912782469,0.7278069825564938,2,1500,250,7.067911288196454,3,3.639034912782469,0,BS2_Node_3,assigned,False
3,10,2172.9054947526233,5111.39203898051,0.0,BS8,582.4918086312513,True,2.10840490919795,0.7670487410411562,2.8754536502391064,0.5750907300478213,1,1200,220,8.916507191801397,3,2.8754536502391064,0,BS8_Node_2,assigned,False
3,2,1583.19,2989.45,0.0,BS10,445.64654065750375,True,2.1968725618426155,0.6591439319967177,2.8560164938393333,0.5712032987678667,2,1500,250,9.701564718484871,3,2.8560164938393333,0,BS10_Node_2,assigned,False
3,3,2895.8899011006765,4872.099956493635,3.7449334883829586,BS8,235.19017092362833,True,3.1621516883206553,0.5714043076443944,3.73355599596505,0.74671119919301,8,3000,400,9.073254310369489,3,3.73355599596505,0,BS8_Node_3,assigned,False
3,4,1592.01,4234.47,0.0,BS2,597.3328907736452,True,1.9252376979700556,0.7589379029688472,2.684175600938903,0.5368351201877806,0,1000,200,7.261812192236327,3,2.684175600938903,0,BS2_Node_4,assigned,False
3,5,2418.9988653807063,7515.969491957544,2.5542908898089083,BS7,504.24993688544083,True,2.6158687974065957,0.7899067430947181,3.4057755405013137,0.6811551081002628,4,2000,300,8.26872020591401,3,3.4057755405013137,0,BS7_Node_1,assigned,False
3,6,2319.618424220327,3731.5174888709726,1.3843032849719747,BS4,487.3407005600247,True,2.7736033549654384,0.7683022635346386,3.541905618500077,0.7083811237000154,5,2200,320,9.53873261554681,3,3.541905618500077,0,BS4_Node_1,assigned,False
3,7,820.4710133708656,6210.130351864884,0.0,BS9,672.944916916761,True,3.4322320759609672,0.9839264328930363,4.416158508854004,0.8832317017708008,7,2800,380,8.979955928366426,3,4.416158508854004,0,BS9_Node_0,assigned,False
3,8,3031.45596169687,1520.7465403624383,0.0,BS5,724.2117466239612,True,3.6554859074762547,1.073441046135138,4.728926953611393,0.9457853907222786,8,3000,400,9.591291534409908,3,4.728926953611393,0,BS5_Node_4,assigned,False
3,9,1800.2174942528736,5575.137701149425,0.0,BS9,701.0660472393408,True,3.2422656916107018,1.030932336138799,4.273198027749501,0.8546396055499003,6,2500,350,6.5533269795634235,3,4.273198027749501,0,BS9_Node_1,assigned,False
4,0,1623.1212936320228,2352.74846599804,8.093998390925117,BS5,949.4188214588353,True,3.7035097626762146,1.255774640230072,4.959284402906286,0.9918568805812573,7,2800,380,6.438596521402637,4,4.959284402906286,0,BS5_Node_0,assigned,False
4,1,642.7604340869394,5315.456870312391,2.2586447789110986,BS2,841.29651514677,True,2.6255044515830663,1.0624045134867544,3.6879089650698207,0.7375817930139642,2,1500,250,6.254110824607828,4,3.6879089650698207,0,BS2_Node_5,assigned,False
4,10,2172.4184975356493,5109.5663305577855,1.8894453343003987,BS8,582.8153693634616,True,3.1474042121995742,0.8862178637526956,4.03362207595227,0.806724415190454,6,2500,350,7.005656479927253,4,4.03362207595227,0,BS8_Node_4,assigned,False
