2025-03-16 02:40:55 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:55 TegraStats: RAM 1965/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,16%@307,13%@307,15%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@384 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.5C POM_5V_IN 1220/1723 POM_5V_GPU 78/64 POM_5V_CPU 353/534 | 2025-03-16 02:40:56 PerfStat: 57.104679075      <not counted>      cache-misses
2025-03-16 02:40:57 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:57 TegraStats: RAM 1975/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@518,5%@518,8%@518,11%@518] EMC_FREQ 9%@204 GR3D_FREQ 0%@384 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1220/1706 POM_5V_GPU 39/64 POM_5V_CPU 313/527 | 2025-03-16 02:40:57 PerfStat: 58.106751735      <not counted>      cache-misses
2025-03-16 02:40:59 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:40:58 TegraStats: RAM 1964/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,6%@307,9%@307,8%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@28C AO@32.5C thermal@26.75C POM_5V_IN 1141/1697 POM_5V_GPU 39/63 POM_5V_CPU 275/523 | 2025-03-16 02:40:59 PerfStat: 60.110017729      <not counted>      cache-misses
2025-03-16 02:41:00 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:00 TegraStats: RAM 1975/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@403,14%@403,8%@403,12%@403] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1798/1694 POM_5V_GPU 39/63 POM_5V_CPU 429/519 | 2025-03-16 02:41:01 PerfStat: 62.121077093      <not counted>      cache-misses
2025-03-16 02:41:02 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:01 TegraStats: RAM 1965/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@710,13%@825,11%@825,8%@825] EMC_FREQ 1%@1600 GR3D_FREQ 4%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1645/1693 POM_5V_GPU 117/63 POM_5V_CPU 546/519 | 2025-03-16 02:41:02 PerfStat: 63.123715225      <not counted>      cache-misses
2025-03-16 02:41:03 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:03 TegraStats: RAM 1966/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@825,8%@825,4%@825,6%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1645/1687 POM_5V_GPU 156/65 POM_5V_CPU 507/519 | 2025-03-16 02:41:04 PerfStat: 65.129495710      <not counted>      cache-misses
2025-03-16 02:41:05 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:05 TegraStats: RAM 1977/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@307,15%@307,13%@307,12%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1218/1672 POM_5V_GPU 39/63 POM_5V_CPU 353/514 | 2025-03-16 02:41:05 PerfStat: 66.131658319      <not counted>      cache-misses
2025-03-16 02:41:07 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:06 TegraStats: RAM 1965/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,8%@307,5%@307,7%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1218/1665 POM_5V_GPU 39/63 POM_5V_CPU 353/511 | 2025-03-16 02:41:07 PerfStat: 68.135073844      <not counted>      cache-misses
2025-03-16 02:41:08 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:08 TegraStats: RAM 1975/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,9%@204,6%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1180/1654 POM_5V_GPU 39/63 POM_5V_CPU 313/505 | 2025-03-16 02:41:09 PerfStat: 70.139798751      <not counted>      cache-references
2025-03-16 02:41:10 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:09 TegraStats: RAM 1965/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,8%@204,4%@204,7%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@384 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1296/1649 POM_5V_GPU 156/64 POM_5V_CPU 391/504 | 2025-03-16 02:41:10 PerfStat: 71.142954073      <not counted>      cache-misses
2025-03-16 02:41:11 | DockerStats: 20b09d247631	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:41:12 TegraStats: RAM 1980/3964MB (lfb 98x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,10%@307,8%@307,9%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1336/1637 POM_5V_GPU 39/63 POM_5V_CPU 392/500 | 2025-03-16 02:41:12 PerfStat: 73.149448103      <not counted>      cache-misses
