2025-03-16 02:46:28 | DockerStats: 34fa6c934d4c	25.66%	64.43MiB / 128MiB	7.99MB / 2.44MB	80.8MB / 0B	28 | 2025-03-16 02:46:29 TegraStats: RAM 2033/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@307,18%@307,16%@307,10%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1373/1786 POM_5V_GPU 39/57 POM_5V_CPU 391/542 | 2025-03-16 02:46:30 PerfStat: 56.054113627          1 362 293      cache-misses              #    3,428 % of all cache refs
2025-03-16 02:46:31 | DockerStats: 34fa6c934d4c	25.35%	64.63MiB / 128MiB	8.06MB / 2.89MB	80.8MB / 0B	28 | 2025-03-16 02:46:32 TegraStats: RAM 2034/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@518,15%@518,11%@518,12%@518] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1336/1764 POM_5V_GPU 39/56 POM_5V_CPU 391/535 | 2025-03-16 02:46:32 PerfStat: 58.055338986          1 618 554      cache-misses              #    4,097 % of all cache refs
2025-03-16 02:46:34 | DockerStats: 34fa6c934d4c	24.57%	66.41MiB / 128MiB	9.15MB / 4.12MB	80.8MB / 0B	28 | 2025-03-16 02:46:35 TegraStats: RAM 2034/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@614,17%@614,12%@614,11%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1296/1748 POM_5V_GPU 39/56 POM_5V_CPU 430/532 | 2025-03-16 02:46:35 PerfStat: 61.059113934            819 000      cache-misses              #    2,085 % of all cache refs
2025-03-16 02:46:36 | DockerStats: 34fa6c934d4c	24.90%	75.55MiB / 128MiB	9.19MB / 4.27MB	80.8MB / 0B	28 | 2025-03-16 02:46:38 TegraStats: RAM 2039/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@403,14%@403,13%@403,15%@403] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.5C POM_5V_IN 1336/1744 POM_5V_GPU 39/54 POM_5V_CPU 391/527 | 2025-03-16 02:46:37 PerfStat: 63.060999296          1 477 699      cache-misses              #    3,737 % of all cache refs
2025-03-16 02:46:39 | DockerStats: 34fa6c934d4c	24.87%	75.5MiB / 128MiB	9.76MB / 5.33MB	80.8MB / 0B	28 | 2025-03-16 02:46:40 TegraStats: RAM 2036/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@518,12%@518,11%@518,14%@518] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1296/1735 POM_5V_GPU 39/55 POM_5V_CPU 353/523 | 2025-03-16 02:46:40 PerfStat: 66.062857308          1 671 030      cache-misses              #    4,244 % of all cache refs
2025-03-16 02:46:42 | DockerStats: 34fa6c934d4c	25.68%	75.86MiB / 128MiB	11.4MB / 5.91MB	80.8MB / 0B	28 | 2025-03-16 02:46:43 TegraStats: RAM 2038/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,12%@1479,12%@1479,10%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1723/1746 POM_5V_GPU 39/56 POM_5V_CPU 547/535 | 2025-03-16 02:46:43 PerfStat: 69.072513379          1 041 077      cache-misses              #    2,660 % of all cache refs
2025-03-16 02:46:44 | DockerStats: 34fa6c934d4c	24.80%	79.21MiB / 128MiB	11.5MB / 6.97MB	80.8MB / 0B	28 | 2025-03-16 02:46:46 TegraStats: RAM 2041/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@403,17%@403,11%@403,14%@403] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1336/1737 POM_5V_GPU 39/55 POM_5V_CPU 353/530 | 2025-03-16 02:46:45 PerfStat: 71.074870774          1 467 103      cache-misses              #    3,748 % of all cache refs
2025-03-16 02:46:47 | DockerStats: 34fa6c934d4c	25.40%	81.62MiB / 128MiB	12.5MB / 7.71MB	80.8MB / 0B	28 | 2025-03-16 02:46:48 TegraStats: RAM 2041/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@307,10%@307,13%@307,13%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@26.75C POM_5V_IN 1296/1728 POM_5V_GPU 0/55 POM_5V_CPU 587/529 | 2025-03-16 02:46:48 PerfStat: 74.076449566          1 287 351      cache-misses              #    3,243 % of all cache refs
2025-03-16 02:46:49 | DockerStats: 34fa6c934d4c	24.76%	81.67MiB / 128MiB	13.1MB / 8.78MB	80.8MB / 0B	28 | 2025-03-16 02:46:51 TegraStats: RAM 2041/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@1224,10%@1224,17%@1224,15%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1723/1731 POM_5V_GPU 39/55 POM_5V_CPU 430/528 | 2025-03-16 02:46:51 PerfStat: 77.088570492         45 189 613      cache-references
2025-03-16 02:46:52 | DockerStats: 34fa6c934d4c	25.97%	82.24MiB / 128MiB	14.7MB / 9.4MB	80.8MB / 0B	28 | 2025-03-16 02:46:53 TegraStats: RAM 2042/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@518,15%@518,12%@518,10%@518] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1412/1723 POM_5V_GPU 78/55 POM_5V_CPU 391/524 | 2025-03-16 02:46:53 PerfStat: 79.090410333          1 121 901      cache-misses              #    2,818 % of all cache refs
