2025-03-16 02:38:39 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:38 TegraStats: RAM 1973/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,10%@204,3%@204,10%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1102/1773 POM_5V_GPU 39/68 POM_5V_CPU 157/483 | 2025-03-16 02:38:39 PerfStat: 52.082069203      <not counted>      cache-misses
2025-03-16 02:38:40 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:41 TegraStats: RAM 1986/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@307,11%@307,8%@307,6%@307] EMC_FREQ 1%@1600 GR3D_FREQ 43%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@26.5C POM_5V_IN 1530/1787 POM_5V_GPU 117/68 POM_5V_CPU 235/494 | 2025-03-16 02:38:40 PerfStat: 53.084345094      <not counted>      cache-misses
2025-03-16 02:38:42 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:42 TegraStats: RAM 1974/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,10%@307,7%@307,5%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1141/1775 POM_5V_GPU 39/68 POM_5V_CPU 196/489 | 2025-03-16 02:38:42 PerfStat: 55.088419268      <not counted>      cache-misses
2025-03-16 02:38:43 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:44 TegraStats: RAM 1985/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,10%@204,6%@204,6%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@28C AO@32.5C thermal@27C POM_5V_IN 1141/1754 POM_5V_GPU 0/67 POM_5V_CPU 236/480 | 2025-03-16 02:38:44 PerfStat: 57.092359848      <not counted>      cache-misses
2025-03-16 02:38:45 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:45 TegraStats: RAM 1973/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,8%@307,8%@307,11%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@27C POM_5V_IN 1141/1743 POM_5V_GPU 39/66 POM_5V_CPU 236/475 | 2025-03-16 02:38:45 PerfStat: 58.094649801      <not counted>      cache-misses
2025-03-16 02:38:47 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:47 TegraStats: RAM 1986/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@403,12%@403,9%@204,9%@307] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1645/1732 POM_5V_GPU 39/65 POM_5V_CPU 313/468 | 2025-03-16 02:38:47 PerfStat: 60.098541058      <not counted>      cache-misses
2025-03-16 02:38:48 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:48 TegraStats: RAM 1974/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,10%@102,10%@204,10%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1375/1726 POM_5V_GPU 117/66 POM_5V_CPU 235/464 | 2025-03-16 02:38:48 PerfStat: 61.099614182      <not counted>      cache-misses
2025-03-16 02:38:50 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:50 TegraStats: RAM 1988/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@1479,18%@1479,13%@1479,14%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 2%@76 APE 25 PLL@26.5C CPU@28C PMIC@50C GPU@27C AO@33C thermal@27.5C POM_5V_IN 3274/1747 POM_5V_GPU 115/67 POM_5V_CPU 1541/479 | 2025-03-16 02:38:50 PerfStat: 63.100725113      <not counted>      cache-misses
2025-03-16 02:38:51 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:52 TegraStats: RAM 1986/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,9%@204,9%@204,10%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1375/1733 POM_5V_GPU 39/65 POM_5V_CPU 314/474 | 2025-03-16 02:38:52 PerfStat: 65.104376213      <not counted>      cache-misses
2025-03-16 02:38:53 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:53 TegraStats: RAM 1973/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@307,8%@307,7%@307,8%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 1336/1727 POM_5V_GPU 39/65 POM_5V_CPU 314/472 | 2025-03-16 02:38:53 PerfStat: 66.107002886      <not counted>      cache-misses
