2025-03-16 02:51:41 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:41 TegraStats: RAM 1971/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,9%@102,5%@204,13%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1141/1534 POM_5V_GPU 78/56 POM_5V_CPU 157/346 | 2025-03-16 02:51:41 PerfStat: 64.081242982      <not counted>      cache-misses
2025-03-16 02:51:43 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:43 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,8%@204,6%@204,6%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1375/1526 POM_5V_GPU 78/56 POM_5V_CPU 235/342 | 2025-03-16 02:51:43 PerfStat: 66.084330277      <not counted>      cache-misses
2025-03-16 02:51:44 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:44 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,6%@102,7%@102,6%@102] EMC_FREQ 7%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1064/1519 POM_5V_GPU 0/55 POM_5V_CPU 157/339 | 2025-03-16 02:51:44 PerfStat: 67.085223661      <not counted>      cache-misses
2025-03-16 02:51:46 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:46 TegraStats: RAM 1989/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@1479,7%@1479,8%@1479,6%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 2104/1535 POM_5V_GPU 38/54 POM_5V_CPU 818/350 | 2025-03-16 02:51:46 PerfStat: 69.086307508      <not counted>      cache-misses
2025-03-16 02:51:48 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:48 TegraStats: RAM 1983/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,9%@307,9%@307,5%@307] EMC_FREQ 10%@204 GR3D_FREQ 91%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1798/1535 POM_5V_GPU 156/55 POM_5V_CPU 352/349 | 2025-03-16 02:51:48 PerfStat: 71.090066525      <not counted>      cache-misses
2025-03-16 02:51:49 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:49 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,5%@204,8%@204,3%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1490/1534 POM_5V_GPU 39/55 POM_5V_CPU 235/347 | 2025-03-16 02:51:49 PerfStat: 72.091546214      <not counted>      cache-misses
2025-03-16 02:51:51 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:51 TegraStats: RAM 1982/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,7%@307,5%@204,9%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32.5C thermal@26.75C POM_5V_IN 1336/1539 POM_5V_GPU 0/56 POM_5V_CPU 275/347 | 2025-03-16 02:51:51 PerfStat: 74.094385799      <not counted>      cache-misses
2025-03-16 02:51:52 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:52 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,9%@204,4%@204,6%@204] EMC_FREQ 7%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1296/1536 POM_5V_GPU 39/55 POM_5V_CPU 235/346 | 2025-03-16 02:51:52 PerfStat: 75.096508355      <not counted>      cache-misses
2025-03-16 02:51:54 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:54 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,8%@204,5%@204,10%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1451/1530 POM_5V_GPU 78/55 POM_5V_CPU 275/343 | 2025-03-16 02:51:54 PerfStat: 77.100479665      <not counted>      cache-misses
2025-03-16 02:51:56 | DockerStats: 095d68607caf	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:51:55 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,11%@102,6%@102,6%@102] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1414/1529 POM_5V_GPU 39/55 POM_5V_CPU 196/341 | 2025-03-16 02:51:56 PerfStat: 79.102395079      <not counted>      cache-misses
