2025-03-16 02:49:00 | DockerStats: dceb7961b8aa	25.06%	61.38MiB / 128MiB	9.09MB / 4.42MB	80.7MB / 0B	23 | 2025-03-16 02:49:01 TegraStats: RAM 2036/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,22%@204,20%@204,19%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27.5C AO@32.5C thermal@27.5C POM_5V_IN 1414/1504 POM_5V_GPU 39/63 POM_5V_CPU 275/317 | 2025-03-16 02:49:02 PerfStat: 56.099816401          2 659 966      cache-misses              #    6,553 % of all cache refs
2025-03-16 02:49:03 | DockerStats: dceb7961b8aa	25.48%	61.21MiB / 128MiB	11.2MB / 5.53MB	80.7MB / 0B	23 | 2025-03-16 02:49:04 TegraStats: RAM 2036/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,15%@204,11%@204,12%@204] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1375/1499 POM_5V_GPU 78/62 POM_5V_CPU 235/316 | 2025-03-16 02:49:04 PerfStat: 58.103047550          1 658 947      cache-misses              #    4,094 % of all cache refs
2025-03-16 02:49:05 | DockerStats: dceb7961b8aa	24.87%	65.71MiB / 128MiB	11.3MB / 5.62MB	80.7MB / 0B	23 | 2025-03-16 02:49:06 TegraStats: RAM 2039/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,13%@204,13%@204,13%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1257/1491 POM_5V_GPU 39/61 POM_5V_CPU 196/312 | 2025-03-16 02:49:07 PerfStat: 61.108572299          1 158 137      cache-misses              #    2,892 % of all cache refs
2025-03-16 02:49:08 | DockerStats: dceb7961b8aa	25.69%	66.59MiB / 128MiB	12.4MB / 7.17MB	80.7MB / 0B	23 | 2025-03-16 02:49:09 TegraStats: RAM 2039/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@518,13%@518,13%@518,15%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1412/1481 POM_5V_GPU 39/60 POM_5V_CPU 313/311 | 2025-03-16 02:49:10 PerfStat: 64.113687931          1 402 557      cache-misses              #    3,530 % of all cache refs
2025-03-16 02:49:11 | DockerStats: dceb7961b8aa	25.20%	74.55MiB / 128MiB	12.4MB / 7.24MB	80.7MB / 0B	23 | 2025-03-16 02:49:11 TegraStats: RAM 2044/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [27%@403,19%@403,25%@403,18%@403] EMC_FREQ 12%@204 GR3D_FREQ 64%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32C thermal@27.25C POM_5V_IN 1876/1486 POM_5V_GPU 195/61 POM_5V_CPU 352/311 | 2025-03-16 02:49:12 PerfStat: 66.117227207          1 976 688      cache-misses              #    4,937 % of all cache refs
2025-03-16 02:49:13 | DockerStats: dceb7961b8aa	25.20%	74.87MiB / 128MiB	13MB / 8.3MB	80.7MB / 0B	23 | 2025-03-16 02:49:15 TegraStats: RAM 2041/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@710,15%@710,6%@710,10%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32C thermal@27C POM_5V_IN 1257/1482 POM_5V_GPU 0/61 POM_5V_CPU 314/310 | 2025-03-16 02:49:15 PerfStat: 69.122200286          1 174 409      cache-misses              #    2,939 % of all cache refs
2025-03-16 02:49:16 | DockerStats: dceb7961b8aa	24.74%	74.94MiB / 128MiB	14.6MB / 8.88MB	80.7MB / 0B	23 | 2025-03-16 02:49:17 TegraStats: RAM 2043/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@307,13%@307,15%@307,13%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1375/1480 POM_5V_GPU 39/61 POM_5V_CPU 275/311 | 2025-03-16 02:49:17 PerfStat: 71.124908308          1 266 733      cache-misses              #    3,168 % of all cache refs
2025-03-16 02:49:18 | DockerStats: dceb7961b8aa	25.44%	75.08MiB / 128MiB	14.8MB / 10.5MB	80.7MB / 0B	23 | 2025-03-16 02:49:20 TegraStats: RAM 2043/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@710,11%@710,11%@710,14%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1952/1493 POM_5V_GPU 156/62 POM_5V_CPU 429/315 | 2025-03-16 02:49:20 PerfStat: 74.129069092          1 654 910      cache-misses              #    4,147 % of all cache refs
2025-03-16 02:49:21 | DockerStats: dceb7961b8aa	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:49:22 TegraStats: RAM 1982/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@710,31%@710,30%@710,28%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.5C POM_5V_IN 1759/1494 POM_5V_GPU 39/61 POM_5V_CPU 430/316 | 2025-03-16 02:49:22 PerfStat: 76.131813676            671 279      cache-misses              #    1,690 % of all cache refs
2025-03-16 02:49:23 | DockerStats: dceb7961b8aa	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:49:23 TegraStats: RAM 1969/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@614,7%@614,9%@614,5%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1414/1493 POM_5V_GPU 39/61 POM_5V_CPU 313/316 | 2025-03-16 02:49:23 PerfStat: 77.133589356      <not counted>      cache-misses
