2025-03-16 03:09:23 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:23 TegraStats: RAM 1969/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,10%@204,9%@204,3%@204] EMC_FREQ 7%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1180/1575 POM_5V_GPU 39/57 POM_5V_CPU 196/345 | 2025-03-16 03:09:23 PerfStat: 60.079165965      <not counted>      cache-misses
2025-03-16 03:09:25 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:25 TegraStats: RAM 1978/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,14%@102,9%@102,8%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1296/1563 POM_5V_GPU 39/56 POM_5V_CPU 236/341 | 2025-03-16 03:09:25 PerfStat: 62.083169670      <not counted>      cache-misses
2025-03-16 03:09:26 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:26 TegraStats: RAM 1971/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,19%@102,9%@204,11%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1180/1557 POM_5V_GPU 39/56 POM_5V_CPU 196/338 | 2025-03-16 03:09:26 PerfStat: 63.085720822      <not counted>      cache-misses
2025-03-16 03:09:28 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:28 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@921,11%@921,5%@921,9%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 2221/1564 POM_5V_GPU 77/57 POM_5V_CPU 778/344 | 2025-03-16 03:09:28 PerfStat: 65.087963738      <not counted>      cache-misses
2025-03-16 03:09:30 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:30 TegraStats: RAM 1978/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,9%@204,7%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1102/1551 POM_5V_GPU 39/57 POM_5V_CPU 157/339 | 2025-03-16 03:09:30 PerfStat: 67.089805714      <not counted>      cache-misses
2025-03-16 03:09:31 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:31 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,9%@204,5%@204,10%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1102/1544 POM_5V_GPU 39/57 POM_5V_CPU 196/337 | 2025-03-16 03:09:31 PerfStat: 68.090974985      <not counted>      cache-misses
2025-03-16 03:09:33 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:33 TegraStats: RAM 1981/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@710,11%@710,9%@710,9%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1684/1542 POM_5V_GPU 117/58 POM_5V_CPU 313/336 | 2025-03-16 03:09:33 PerfStat: 70.094888429      <not counted>      cache-misses
2025-03-16 03:09:34 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:34 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@921,10%@921,3%@921,7%@921] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1414/1540 POM_5V_GPU 39/57 POM_5V_CPU 275/335 | 2025-03-16 03:09:34 PerfStat: 71.096343639      <not counted>      cache-misses
2025-03-16 03:09:36 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:36 TegraStats: RAM 1981/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@307,15%@307,15%@307,9%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.25C POM_5V_IN 1837/1552 POM_5V_GPU 39/58 POM_5V_CPU 391/341 | 2025-03-16 03:09:36 PerfStat: 73.100119479      <not counted>      cache-misses
2025-03-16 03:09:38 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:37 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,9%@102,7%@102,4%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1296/1549 POM_5V_GPU 39/58 POM_5V_CPU 275/340 | 2025-03-16 03:09:38 PerfStat: 75.104233028      <not counted>      cache-misses
2025-03-16 03:09:39 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:39 TegraStats: RAM 1981/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@518,11%@518,10%@518,7%@518] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@31.5C thermal@26.5C POM_5V_IN 2030/1552 POM_5V_GPU 78/58 POM_5V_CPU 546/341 | 2025-03-16 03:09:39 PerfStat: 76.114873803      <not counted>      cache-misses
2025-03-16 03:09:41 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:41 TegraStats: RAM 1981/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,8%@102,5%@204,11%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1257/1549 POM_5V_GPU 78/58 POM_5V_CPU 236/339 | 2025-03-16 03:09:41 PerfStat: 78.128687035      <not counted>      cache-misses
2025-03-16 03:09:42 | DockerStats: 68fecb8e6b49	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 03:09:42 TegraStats: RAM 1970/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,8%@204,6%@204,6%@204] EMC_FREQ 7%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1296/1545 POM_5V_GPU 39/58 POM_5V_CPU 275/338 | 2025-03-16 03:09:42 PerfStat: 79.130319485      <not counted>      cache-misses
