2025-03-16 02:36:33 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:32 TegraStats: RAM 2032/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,6%@204,11%@204,6%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.75C POM_5V_IN 1141/1476 POM_5V_GPU 39/59 POM_5V_CPU 196/330 | 2025-03-16 02:36:32 PerfStat: 62.106465095      <not counted>      cache-misses
2025-03-16 02:36:34 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:34 TegraStats: RAM 2032/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,5%@204,8%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.5C POM_5V_IN 1141/1469 POM_5V_GPU 39/58 POM_5V_CPU 236/328 | 2025-03-16 02:36:34 PerfStat: 64.108449416      <not counted>      cache-misses
2025-03-16 02:36:36 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:36 TegraStats: RAM 2043/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,11%@204,12%@204,4%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.75C POM_5V_IN 1141/1464 POM_5V_GPU 39/58 POM_5V_CPU 235/326 | 2025-03-16 02:36:36 PerfStat: 66.109998682      <not counted>      cache-misses
2025-03-16 02:36:38 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:37 TegraStats: RAM 2032/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,2%@102,13%@102,6%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.75C POM_5V_IN 1141/1460 POM_5V_GPU 39/58 POM_5V_CPU 196/324 | 2025-03-16 02:36:37 PerfStat: 67.111180817      <not counted>      cache-misses
2025-03-16 02:36:39 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:39 TegraStats: RAM 2044/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@518,5%@518,9%@518,5%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@27.5C AO@32C thermal@26.25C POM_5V_IN 1257/1459 POM_5V_GPU 0/59 POM_5V_CPU 314/324 | 2025-03-16 02:36:39 PerfStat: 69.113196492      <not counted>      cache-misses
2025-03-16 02:36:41 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:40 TegraStats: RAM 2033/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@614,10%@614,9%@825,8%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@27C POM_5V_IN 1375/1457 POM_5V_GPU 39/58 POM_5V_CPU 314/324 | 2025-03-16 02:36:40 PerfStat: 70.115765197      <not counted>      cache-misses
2025-03-16 02:36:42 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:43 TegraStats: RAM 2044/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1479,6%@1479,8%@1479,6%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 13%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 2447/1473 POM_5V_GPU 116/59 POM_5V_CPU 893/332 | 2025-03-16 02:36:42 PerfStat: 72.118529209      <not counted>      cache-misses
2025-03-16 02:36:44 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:45 TegraStats: RAM 2044/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,6%@204,9%@204,5%@204] EMC_FREQ 8%@204 GR3D_FREQ 5%@76 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1530/1473 POM_5V_GPU 156/60 POM_5V_CPU 274/331 | 2025-03-16 02:36:44 PerfStat: 74.123218334      <not counted>      cache-misses
2025-03-16 02:36:46 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:46 TegraStats: RAM 2035/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@1036,9%@1036,13%@1036,15%@1036] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32.5C thermal@27.75C POM_5V_IN 2408/1486 POM_5V_GPU 0/59 POM_5V_CPU 894/338 | 2025-03-16 02:36:45 PerfStat: 75.123968175      <not counted>      cache-misses
2025-03-16 02:36:47 | DockerStats: e028f7bc7379	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:36:48 TegraStats: RAM 2046/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,5%@204,15%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1220/1481 POM_5V_GPU 39/58 POM_5V_CPU 196/335 | 2025-03-16 02:36:47 PerfStat: 77.128903708      <not counted>      cache-misses
