2025-03-16 02:32:41 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:41 TegraStats: RAM 2030/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@710,6%@710,8%@710,7%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1412/1517 POM_5V_GPU 39/53 POM_5V_CPU 313/350 | 2025-03-16 02:32:41 PerfStat: 67.088044924      <not counted>      cache-misses
2025-03-16 02:32:43 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:42 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,8%@204,8%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 85%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@31.5C thermal@26.75C POM_5V_IN 1684/1520 POM_5V_GPU 156/54 POM_5V_CPU 313/349 | 2025-03-16 02:32:42 PerfStat: 68.090478159      <not counted>      cache-misses
2025-03-16 02:32:44 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:44 TegraStats: RAM 2028/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@307,4%@307,6%@307,9%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1837/1522 POM_5V_GPU 39/54 POM_5V_CPU 391/349 | 2025-03-16 02:32:44 PerfStat: 70.093918268      <not counted>      cache-misses
2025-03-16 02:32:46 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:45 TegraStats: RAM 2019/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,7%@102,7%@102,7%@102] EMC_FREQ 8%@204 GR3D_FREQ 0%@230 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1220/1517 POM_5V_GPU 39/53 POM_5V_CPU 196/347 | 2025-03-16 02:32:46 PerfStat: 72.096919364      <not counted>      cache-misses
2025-03-16 02:32:47 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:47 TegraStats: RAM 2018/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,7%@102,7%@102,7%@102] EMC_FREQ 7%@204 GR3D_FREQ 0%@230 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.5C POM_5V_IN 1180/1510 POM_5V_GPU 39/54 POM_5V_CPU 196/344 | 2025-03-16 02:32:47 PerfStat: 73.098927285      <not counted>      cache-misses
2025-03-16 02:32:49 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:50 TegraStats: RAM 2028/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,10%@102,8%@102,12%@204] EMC_FREQ 7%@204 GR3D_FREQ 0%@76 APE 25 PLL@25C CPU@27C PMIC@50C GPU@27C AO@32C thermal@26.5C POM_5V_IN 1064/1499 POM_5V_GPU 0/53 POM_5V_CPU 197/340 | 2025-03-16 02:32:49 PerfStat: 75.103272971      <not counted>      cache-misses
2025-03-16 02:32:51 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:51 TegraStats: RAM 2020/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,16%@204,11%@204,19%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27.5C AO@32C thermal@26.75C POM_5V_IN 1103/1494 POM_5V_GPU 0/52 POM_5V_CPU 157/337 | 2025-03-16 02:32:50 PerfStat: 76.105186047      <not counted>      cache-misses
2025-03-16 02:32:52 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:53 TegraStats: RAM 2028/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,9%@102,3%@102,9%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27C PMIC@50C GPU@26C AO@32C thermal@26.5C POM_5V_IN 1102/1484 POM_5V_GPU 39/52 POM_5V_CPU 157/333 | 2025-03-16 02:32:52 PerfStat: 78.109399754      <not counted>      cache-misses
2025-03-16 02:32:54 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:54 TegraStats: RAM 2019/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,9%@102,6%@102,9%@102] EMC_FREQ 8%@204 GR3D_FREQ 31%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.5C POM_5V_IN 1375/1482 POM_5V_GPU 157/53 POM_5V_CPU 196/331 | 2025-03-16 02:32:54 PerfStat: 80.112491267      <not counted>      cache-misses
2025-03-16 02:32:55 | DockerStats: 04463a03fa97	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:32:56 TegraStats: RAM 2030/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,11%@204,11%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.5C POM_5V_IN 1414/1477 POM_5V_GPU 117/54 POM_5V_CPU 235/327 | 2025-03-16 02:32:55 PerfStat: 81.114431375      <not counted>      cache-misses
