2025-03-16 02:53:40 | DockerStats: 517431f3aa6d	24.73%	67.85MiB / 128MiB	7.99MB / 3.59MB	80.6MB / 0B	23 | 2025-03-16 02:53:41 TegraStats: RAM 2046/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [26%@614,16%@614,22%@614,16%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 2256/1532 POM_5V_GPU 38/60 POM_5V_CPU 701/333 | 2025-03-16 02:53:41 PerfStat: 56.100547758          1 603 934      cache-misses              #    3,749 % of all cache refs
2025-03-16 02:53:43 | DockerStats: 517431f3aa6d	25.85%	77.13MiB / 128MiB	9.6MB / 4.17MB	80.6MB / 0B	23 | 2025-03-16 02:53:43 TegraStats: RAM 2046/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,17%@204,14%@204,16%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1336/1534 POM_5V_GPU 39/60 POM_5V_CPU 235/331 | 2025-03-16 02:53:43 PerfStat: 58.101493063          1 738 523      cache-misses              #    4,063 % of all cache refs
2025-03-16 02:53:45 | DockerStats: 517431f3aa6d	24.37%	81.67MiB / 128MiB	9.67MB / 5.55MB	80.6MB / 0B	23 | 2025-03-16 02:53:46 TegraStats: RAM 2048/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,15%@204,19%@307,11%@307] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1257/1528 POM_5V_GPU 39/59 POM_5V_CPU 313/331 | 2025-03-16 02:53:46 PerfStat: 61.103451440          1 074 206      cache-misses              #    2,515 % of all cache refs
2025-03-16 02:53:48 | DockerStats: 517431f3aa6d	24.67%	83.41MiB / 128MiB	10.8MB / 6.37MB	81.4MB / 0B	23 | 2025-03-16 02:53:49 TegraStats: RAM 2048/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,14%@204,10%@204,17%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1414/1525 POM_5V_GPU 157/62 POM_5V_CPU 235/327 | 2025-03-16 02:53:48 PerfStat: 63.104388621          1 885 373      cache-misses              #    4,401 % of all cache refs
2025-03-16 02:53:50 | DockerStats: 517431f3aa6d	25.17%	83.88MiB / 128MiB	11.3MB / 7MB	81.4MB / 0B	23 | 2025-03-16 02:53:51 TegraStats: RAM 2050/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@1428,20%@1428,26%@1428,20%@1428] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@28C PMIC@50C GPU@27.5C AO@32.5C thermal@27.5C POM_5V_IN 2637/1538 POM_5V_GPU 38/61 POM_5V_CPU 1085/340 | 2025-03-16 02:53:51 PerfStat: 66.105746213          1 471 055      cache-misses              #    3,397 % of all cache refs
2025-03-16 02:53:53 | DockerStats: 517431f3aa6d	24.84%	83.73MiB / 128MiB	11.9MB / 7.68MB	81.4MB / 0B	23 | 2025-03-16 02:53:54 TegraStats: RAM 2050/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [24%@204,7%@204,9%@204,18%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1296/1528 POM_5V_GPU 39/61 POM_5V_CPU 236/336 | 2025-03-16 02:53:54 PerfStat: 69.107202140          1 655 134      cache-misses              #    3,838 % of all cache refs
2025-03-16 02:53:56 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:53:56 TegraStats: RAM 1981/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [25%@1479,25%@1479,27%@1479,21%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27.5C AO@33C thermal@27C POM_5V_IN 3603/1554 POM_5V_GPU 76/61 POM_5V_CPU 1990/358 | 2025-03-16 02:53:56 PerfStat: 71.108679010            956 716      cache-misses              #    2,222 % of all cache refs
2025-03-16 02:53:58 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:53:58 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@518,6%@518,12%@518,14%@518] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1336/1546 POM_5V_GPU 39/61 POM_5V_CPU 275/355 | 2025-03-16 02:53:58 PerfStat: 73.113485064      <not counted>      cache-misses
2025-03-16 02:54:00 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:53:59 TegraStats: RAM 1971/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@710,5%@710,9%@710,10%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1336/1543 POM_5V_GPU 39/60 POM_5V_CPU 235/354 | 2025-03-16 02:53:59 PerfStat: 74.116019393      <not counted>      cache-misses
2025-03-16 02:54:01 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:01 TegraStats: RAM 2001/3964MB (lfb 92x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@1479,15%@1479,17%@1479,18%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@26.5C CPU@29C PMIC@50C GPU@27C AO@33C thermal@28C POM_5V_IN 3795/1577 POM_5V_GPU 76/62 POM_5V_CPU 2143/378 | 2025-03-16 02:54:01 PerfStat: 76.120212943      <not counted>      cache-misses
