2025-03-16 02:28:40 | DockerStats: 4855b4006e87	24.79%	76.09MiB / 128MiB	8.53MB / 4.06MB	78.6MB / 0B	22 | 2025-03-16 02:28:41 TegraStats: RAM 2091/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,15%@204,10%@204,18%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1336/1525 POM_5V_GPU 39/59 POM_5V_CPU 235/339 | 2025-03-16 02:28:41 PerfStat: 56.084783880            898 975      cache-misses              #    2,111 % of all cache refs
2025-03-16 02:28:43 | DockerStats: 4855b4006e87	24.98%	82.11MiB / 128MiB	9.09MB / 4.65MB	78.6MB / 0B	22 | 2025-03-16 02:28:43 TegraStats: RAM 2091/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,15%@204,16%@204,12%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1257/1519 POM_5V_GPU 39/58 POM_5V_CPU 275/337 | 2025-03-16 02:28:43 PerfStat: 58.088740866          1 639 588      cache-misses              #    3,812 % of all cache refs
2025-03-16 02:28:45 | DockerStats: 4855b4006e87	25.28%	84.25MiB / 128MiB	10.2MB / 5.74MB	78.6MB / 0B	22 | 2025-03-16 02:28:46 TegraStats: RAM 2094/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@1326,17%@1326,10%@1326,21%@1326] EMC_FREQ 1%@1600 GR3D_FREQ 40%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1837/1534 POM_5V_GPU 156/59 POM_5V_CPU 507/346 | 2025-03-16 02:28:46 PerfStat: 61.093481809          1 321 589      cache-misses              #    2,999 % of all cache refs
2025-03-16 02:28:48 | DockerStats: 4855b4006e87	24.90%	85.02MiB / 128MiB	10.7MB / 6.36MB	78.6MB / 0B	22 | 2025-03-16 02:28:49 TegraStats: RAM 2088/3964MB (lfb 90x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [19%@307,17%@307,19%@307,14%@307] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1608/1528 POM_5V_GPU 39/58 POM_5V_CPU 313/343 | 2025-03-16 02:28:48 PerfStat: 63.098862500          1 764 421      cache-misses              #    3,972 % of all cache refs
2025-03-16 02:28:50 | DockerStats: 4855b4006e87	25.07%	85.26MiB / 128MiB	11.8MB / 7.41MB	78.6MB / 0B	22 | 2025-03-16 02:28:51 TegraStats: RAM 2095/3964MB (lfb 88x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@1224,13%@1224,19%@1224,13%@1224] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1375/1523 POM_5V_GPU 39/58 POM_5V_CPU 353/343 | 2025-03-16 02:28:51 PerfStat: 66.103949955          1 538 881      cache-misses              #    3,465 % of all cache refs
2025-03-16 02:28:53 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:28:54 TegraStats: RAM 2024/3964MB (lfb 91x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [30%@307,32%@307,26%@307,26%@307] EMC_FREQ 15%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1296/1518 POM_5V_GPU 39/57 POM_5V_CPU 196/340 | 2025-03-16 02:28:54 PerfStat: 69.108768762            676 417      cache-misses              #    1,536 % of all cache refs
2025-03-16 02:28:56 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:28:55 TegraStats: RAM 2012/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,8%@102,10%@204,12%@204] EMC_FREQ 12%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@27C POM_5V_IN 1102/1512 POM_5V_GPU 39/57 POM_5V_CPU 157/337 | 2025-03-16 02:28:55 PerfStat: 70.111184549      <not counted>      cache-misses
2025-03-16 02:28:57 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:28:57 TegraStats: RAM 2023/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@614,9%@614,4%@614,2%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.75C POM_5V_IN 1530/1507 POM_5V_GPU 39/57 POM_5V_CPU 352/336 | 2025-03-16 02:28:57 PerfStat: 72.115160807      <not counted>      cache-misses
2025-03-16 02:28:59 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:28:58 TegraStats: RAM 2011/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@710,4%@710,7%@710,7%@710] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26C AO@32.5C thermal@26.75C POM_5V_IN 1296/1504 POM_5V_GPU 39/56 POM_5V_CPU 275/335 | 2025-03-16 02:28:58 PerfStat: 73.117368728      <not counted>      cache-misses
2025-03-16 02:29:00 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:00 TegraStats: RAM 2021/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [16%@1479,11%@1479,13%@1479,7%@1479] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1952/1513 POM_5V_GPU 39/56 POM_5V_CPU 702/341 | 2025-03-16 02:29:00 PerfStat: 75.119630602      <not counted>      cache-misses
